"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-09-09 20:23:47", "1322868", "993b92d028878b69b3487feee52fbc94", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:44", "1322865", "c18b6791df510f32c72a619ef3dd7c7d", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:41", "1322862", "9370d5bd00e22025edcd9baa5e4de765", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:37", "1322859", "6b3b139508623a37fd477a5f82a1c480", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:34", "1322856", "f93cdcbf717238f80c02948148d9ca0f", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:31", "1322853", "f404802b32fc996bea92d82836b819b9", "md5_hash", "payload", "win.luca_stealer", "None", "Luca Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:28", "1322850", "2ef7b4014ec2f8e1df3892759f67c041", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:25", "1322847", "586ef6d389421be136ccabf13a789062", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:22", "1322844", "8ed8c522884959241e80f76f03d00720", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:19", "1322841", "e1bfe10f37183ae1803496a4e5d3b8e1", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:16", "1322838", "cb8527b1a92dc7eb211c0e78870def59", "md5_hash", "payload", "win.cryptbot", "None", "CryptBot", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:13", "1322835", "9d638301c6a769cfc219502133716375", "md5_hash", "payload", "win.socks5_systemz", "None", "Socks5 Systemz", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:10", "1322832", "3879291a4c9563f65101294045b3b427", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:07", "1322829", "bd34c12dc1eb99f17fd0cbd581dfce9f", "md5_hash", "payload", "win.stealc", "None", "Stealc", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:03", "1322826", "61136861ddae7d53a0165c710bab05fe", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:00", "1322823", "38497df5caa858a3e65f3946bb0e28bf", "md5_hash", "payload", "win.tofsee", "Gheg", "Tofsee", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:56", "1322820", "776259bda04bcc302e8973755421d8b7", "md5_hash", "payload", "win.sigloader", "None", "SigLoader", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:53", "1322817", "6862e2f5c53d361744178c7373263ad4", "md5_hash", "payload", "win.coinminer", "None", "Coinminer", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:49", "1322814", "9e13076001d59c2b50968e6f1f9531a3", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:46", "1322811", "5957ab676b59da646ea6c4d1b18f4381", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
